id,title,isPartOf,publicationYear,doi,docType,provider,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/2868115,Review Article,Shakespeare Quarterly,1964,,article,jstor,1964-10-01,,4,http://www.jstor.org/stable/2868115,W. W. Arndt,Folger Shakespeare Library,eng,438,439,,592,2,unigram; bigram; trigram
http://www.jstor.org/stable/2871310,Front Matter,Shakespeare Quarterly,1997,,article,jstor,1997-01-01,5,48,http://www.jstor.org/stable/2871310,,Folger Shakespeare Library,eng,517,526,,1928,9,unigram; bigram; trigram
http://www.jstor.org/stable/2867075,Review Article,Shakespeare Quarterly,1961,,article,jstor,1961-07-01,3,12,http://www.jstor.org/stable/2867075,Milton Crane,Folger Shakespeare Library,eng,336,338,,706,3,unigram; bigram; trigram
http://www.jstor.org/stable/2866074,Irving in Shakespeare: Interpretation or Creation?,Shakespeare Quarterly,1955,,article,jstor,1955-10-01,,4,http://www.jstor.org/stable/2866074,E. J. West,Folger Shakespeare Library,eng,415,422,,3948,8,unigram; bigram; trigram
http://www.jstor.org/stable/2870728,Macbeth's Season of Imperception,Shakespeare Quarterly,1989,,article,jstor,1989-10-01,3,40,http://www.jstor.org/stable/2870728,Steven Doloff,Folger Shakespeare Library,eng,328,329,,515,2,unigram; bigram; trigram
http://www.jstor.org/stable/2902268,Review Article,Shakespeare Quarterly,1998,,article,jstor,1998-10-01,3,49,http://www.jstor.org/stable/2902268,Lois Potter,Folger Shakespeare Library,eng,335,337,,1198,3,unigram; bigram; trigram
http://www.jstor.org/stable/2866902,Review Article,Shakespeare Quarterly,1962,,article,jstor,1962-01-01,1,13,http://www.jstor.org/stable/2866902,"Franklin B. Williams, Jr.",Folger Shakespeare Library,eng,82,82,,338,1,unigram; bigram; trigram
http://www.jstor.org/stable/2866238,Front Matter,Shakespeare Quarterly,1951,,article,jstor,1951-10-01,4,2,http://www.jstor.org/stable/2866238,,Folger Shakespeare Library,eng,,,,364,2,unigram; bigram; trigram
http://www.jstor.org/stable/2869306,Shakespeare in Florida,Shakespeare Quarterly,1979,,article,jstor,1979-04-01,2,30,http://www.jstor.org/stable/2869306,Eugene S. Clasby,Folger Shakespeare Library,eng,204,205,,1175,2,unigram; bigram; trigram
http://www.jstor.org/stable/2867125,Correspondence,Shakespeare Quarterly,1959,,article,jstor,1959-10-01,4,10,http://www.jstor.org/stable/2867125,,Folger Shakespeare Library,eng,618,618,,327,1,unigram; bigram; trigram
http://www.jstor.org/stable/2870361,Front Matter,Shakespeare Quarterly,1984,,article,jstor,1984-10-01,3,35,http://www.jstor.org/stable/2870361,,Folger Shakespeare Library,eng,257,259,,1291,5,unigram; bigram; trigram
http://www.jstor.org/stable/2868260,Hamlet and the Coronation of Christian IV,Shakespeare Quarterly,1965,,article,jstor,1965-04-01,2,16,http://www.jstor.org/stable/2868260,Gunnar Sjögren,Folger Shakespeare Library,eng,155,160,,2903,6,unigram; bigram; trigram
http://www.jstor.org/stable/23025656,Review Article,Shakespeare Quarterly,2011,,article,jstor,2011-10-01,3,62,http://www.jstor.org/stable/23025656,Anthony R. Guneratne,Folger Shakespeare Library,eng,475,478,,1453,4,unigram; bigram; trigram
http://www.jstor.org/stable/2869042,Dissertations,Shakespeare Quarterly,1975,,article,jstor,1975-10-01,4,26,http://www.jstor.org/stable/2869042,Thomas F. Grieve; Rudolph E. Habenicht,Folger Shakespeare Library,eng,346,351,,2757,6,unigram; bigram; trigram
http://www.jstor.org/stable/2866396,Pepys' Shakespeare Song,Shakespeare Quarterly,1955,,article,jstor,1955-04-01,2,6,http://www.jstor.org/stable/2866396,MacDonald Emslie,Folger Shakespeare Library,eng,159,170,,4210,12,unigram; bigram; trigram
http://www.jstor.org/stable/2902217,Review Article,Shakespeare Quarterly,1998,,article,jstor,1998-04-01,1,49,http://www.jstor.org/stable/2902217,Jonathan Gil Harris,Folger Shakespeare Library,eng,102,104,,1972,3,unigram; bigram; trigram
http://www.jstor.org/stable/2869691,"Shakespeare in Bergen, 1983",Shakespeare Quarterly,1984,,article,jstor,1984-04-01,1,35,http://www.jstor.org/stable/2869691,Andrew Kennedy,Folger Shakespeare Library,eng,95,96,,1230,2,unigram; bigram; trigram
http://www.jstor.org/stable/2866842,Rosalind's Gentle Jupiter,Shakespeare Quarterly,1962,,article,jstor,1962-07-01,3,13,http://www.jstor.org/stable/2866842,Mary Ellen Rickey,Folger Shakespeare Library,eng,365,366,,765,2,unigram; bigram; trigram
http://www.jstor.org/stable/2867196,Coleville of the Dale,Shakespeare Quarterly,1958,,article,jstor,1958-01-01,1,9,http://www.jstor.org/stable/2867196,Peter G. Phialas,Folger Shakespeare Library,eng,86,88,,1202,3,unigram; bigram; trigram
http://www.jstor.org/stable/2871021,Review Article,Shakespeare Quarterly,1997,,article,jstor,1997-10-01,3,48,http://www.jstor.org/stable/2871021,Heather Dubrow,Folger Shakespeare Library,eng,336,338,,1482,3,unigram; bigram; trigram
http://www.jstor.org/stable/2866486,Review Article,Shakespeare Quarterly,1953,,article,jstor,1953-10-01,4,4,http://www.jstor.org/stable/2866486,Hubert Heffner,Folger Shakespeare Library,eng,477,479,,1194,3,unigram; bigram; trigram
http://www.jstor.org/stable/2866945,The Foresters' Song in As You Like It,Shakespeare Quarterly,1959,,article,jstor,1959-04-01,2,10,http://www.jstor.org/stable/2866945,Peter J. Seng,Folger Shakespeare Library,eng,246,249,,1984,4,unigram; bigram; trigram
