id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat
ark://27927/phx622jbwj7,‘To love and to be loved’: Janina Bauman’s ordinary life,Thesis Eleven,2011,10.1177/0725513611421459,article,,portico,,2011-11-01,1,107,http://doi.org/10.1177/0725513611421459,Sian Supski; Peter Beilharz,SAGE Publications,eng,101,105,,janina; bauman; janina bauman; zygmunt; zygmunt bauman; peter beilharz; thesis eleven; warsaw; polish; virago bauman,2629,5,unigram; bigram; trigram
ark://27927/pbd84g9rm9,Chapter One: The Extra in the Early Silent Years,Hollywood Unknowns,2012,,chapter,,portico,,2012-01-01,,,,Anthony Slide,University Press of Mississippi,eng,18,33,,extras; studio; casting director; casting; hollywood; goldwyn; screen; essanay; male extras; extras working,6319,16,unigram; bigram; trigram
ark://27927/pbd1phtpxcv,Index,Indian English and the Fiction of National Literature,2013,,chapter,,portico,,2013-01-01,,,,Rosemary George,Cambridge University Press,eng,267,285,,sahitya akademi; indian; english; literature; partition; partition fiction; indian literature; fiction; language; vernacular,7861,19,unigram; bigram; trigram
ark://27927/phx4s1ckrrg,CHINESE MELODRAMA,Traditions in World Cinema,2005,10.3366/j.ctt1g09zb9.20,chapter,,portico,,2005-12-08,,,https://doi.org/10.3366/j.ctt1g09zb9.20,Stephen Teo,Edinburgh University Press,eng,203,213,,wenyi pian; cinema; melodrama; chinese; chinese cinema; wenyi madonna; martial arts; chinese melodrama; wenyi film; kong cinema,4867,11,unigram; bigram; trigram
ark://27927/phzgd58s1qv,A European in Hollywood – Name The Man and the Shift of Production Systems,Transition and Transformation,2013,,chapter,,portico,,2013-01-01,,,,"Florin, Bo",Amsterdam University Press,eng,,,,sjöström; hollywood; production; lubitsch; victor sjöström; swedish; european; script; name the man; sweden,6386,16,unigram; bigram; trigram
ark://27927/pgh3tn9bq8f,The influence of age-awareness versus general HRM practices on the retirement decision of older workers,Personnel Review,2015,10.1108/PR-01-2014-0031,article,research-article,portico,,2015-02-02,1,44,http://doi.org/10.1108/PR-01-2014-0031,OlivierHerrbach SophieHennekam,Emerald Group Publishing,eng,3,21,,older workers; hrm practices; occupational status; low occupational; retirement decision; retirement; low occupational status; social identity; interviewees; awareness hrm,13586,19,unigram; bigram; trigram
http://www.jstor.org/stable/40375509,"The Arts, Social Inclusion and Social Class: The Case of Dance",British Educational Research Journal,2008,,article,research-article,jstor,,2008-08-01,4,34,http://www.jstor.org/stable/40375509,Patricia Sanderson,Wiley,eng,467,490,,social; ballet; sanderson; aesthetic; schools; social classes; attitudes; national curriculum; educational inclusion; scale scores,11903,24,unigrams; bigrams; trigrams
ark://27927/phxhfxf8jj,Book Reviews,The Australian Journal of Anthropology,1996,10.1111/j.1835-9310.1996.tb00338.x,article,,portico,,1996-12-01,3,7,http://doi.org/10.1111/j.1835-9310.1996.tb00338.x,,"John Wiley & Sons, Inc.",eng,64,79,,machismo; medieval; cosmology; scholastic; leiner; scholastic cosmology; medieval cosmology; bronio; balinese; anthropology,8687,16,unigram; bigram; trigram
ark://27927/phx18n6qghw,Biographies,Prominent Indonesian Chinese,2015,,chapter,,portico,,2015-01-01,,,,"Suryadinata, Leo",Institute of Southeast Asian Studies,eng,38,445,,jakarta; indonesian; see tan; liem sioe; sioe liong; chinese; semarang; bandung; community leader; alim markus,116553,408,unigram; bigram; trigram
ark://27927/phz9hk02q97,Part III. The American Civilization Thesis: Internalizing the Other,Enemies of All Humankind,2016,,chapter,,portico,,2016-01-01,,,,,Dartmouth College Press,eng,,,,,0,0,unigram; bigram; trigram
ark://27927/phx68dn4s2t,Chapter 2. A Coney Island of the Mind: Toward a Genealogy of Leisure Performance,The Scene of Foreplay,2017,,chapter,,portico,,2017-01-01,,,,"Palladini, Giulia",Northwestern University Press,eng,75,104,,coney island; heaven grand; amber orbit; vaccaro; freaks; playhouse; theater; sideshow; ridiculous; freak show,14051,30,unigram; bigram; trigram
ark://27927/phz1fmw908r,Practice and Research in Career Counseling and Development—2008,The Career Development Quarterly,2009,10.1002/j.2161-0045.2009.tb00052.x,article,,portico,,2009-12-01,2,58,http://doi.org/10.1002/j.2161-0045.2009.tb00052.x,Wendy Patton; Peter McIlveen,"John Wiley & Sons, Inc.",eng,118,161,,career; career development; counseling; development quarterly; blustein; career development quarterly; career success; boundaryless careers; theory; assessment,22490,44,unigram; bigram; trigram
ark://27927/pjc8j4j2df,When Will Smith meets Ang Lee in Hollywood sf: Negotiating a crossover Blackness in Gemini Man,Science Fiction Film and Television,2024,,article,Article,portico,,2024-07-31,2,17,,Ting-Ting Chan,Project MUSE,eng,203,227,,gemini man; hollywood; brogan; ang lee; racial; cinema; meets ang; ting chan; filmmakers; crossover,13087,25,unigram; bigram; trigram
ark://27927/phzdsmggvzb,Issue Matter,International Journal of Sustainability in Higher Education,2019,,article,,portico,,2019-05-07,4,20,,,Emerald Group Publishing,eng,,,,sustainability curricula; curricula implementation; sustainability curricula implementation; education; sustainable development; implementation processes; curricula implementation processes; research; journals; research landscape,119029,240,unigram; bigram; trigram
